month,primary_type,incidents,year,month_num
2022-09-01,Liquor Law Violation,20,2022,9
2022-09-01,Motor Vehicle Theft,2412,2022,9
2022-09-01,Narcotics,382,2022,9
2022-09-01,Obscenity,6,2022,9
2022-09-01,Offense Involving Children,160,2022,9
2022-09-01,Other Narcotic Violation,2,2022,9
2022-09-01,Other Offense,1150,2022,9
2022-09-01,Prostitution,59,2022,9
2022-09-01,Public Indecency,1,2022,9
2022-09-01,Public Peace Violation,67,2022,9
2022-09-01,Robbery,868,2022,9
2022-09-01,Sex Offense,121,2022,9
2022-09-01,Stalking,34,2022,9
2022-09-01,Theft,5128,2022,9
2022-09-01,Weapons Violation,780,2022,9
2022-10-01,All Types,23291,2022,10
2022-10-01,Arson,41,2022,10
2022-10-01,Assault,1840,2022,10
2022-10-01,Battery,3508,2022,10
2022-10-01,Burglary,690,2022,10
2022-10-01,Concealed Carry License Violation,10,2022,10
2022-10-01,Criminal Damage,2835,2022,10
2022-10-01,Criminal Sexual Assault,166,2022,10
2022-10-01,Criminal Trespass,374,2022,10
2022-10-01,Deceptive Practice,1630,2022,10
2022-10-01,Homicide,66,2022,10
2022-10-01,Human Trafficking,2,2022,10
2022-10-01,Interference With Public Officer,37,2022,10
2022-10-01,Intimidation,24,2022,10
2022-10-01,Kidnapping,11,2022,10
2022-10-01,Liquor Law Violation,19,2022,10
2022-10-01,Motor Vehicle Theft,3186,2022,10
2022-10-01,Narcotics,362,2022,10
2022-10-01,Non-Criminal,2,2022,10
2022-10-01,Obscenity,8,2022,10
2022-10-01,Offense Involving Children,141,2022,10
2022-10-01,Other Offense,1172,2022,10
2022-10-01,Prostitution,26,2022,10
2022-10-01,Public Indecency,1,2022,10
2022-10-01,Public Peace Violation,72,2022,10
2022-10-01,Robbery,943,2022,10
2022-10-01,Sex Offense,94,2022,10
2022-10-01,Stalking,47,2022,10
2022-10-01,Theft,5249,2022,10
2022-10-01,Weapons Violation,735,2022,10
2022-11-01,All Types,20885,2022,11
2022-11-01,Arson,29,2022,11
2022-11-01,Assault,1661,2022,11
2022-11-01,Battery,3090,2022,11
2022-11-01,Burglary,675,2022,11
2022-11-01,Concealed Carry License Violation,18,2022,11
2022-11-01,Criminal Damage,2462,2022,11
