year,community_area,primary_type,not_arrests,arrests,incidents,community_name,acs_year,total_population,arrest_rate,incidents_per_100k
2021,6,Public Peace Violation,16,6,22,Lake View,2023,90652,27.27,24.27
2021,6,Robbery,190,24,214,Lake View,2023,90652,11.21,236.07
2021,6,Sex Offense,21,3,24,Lake View,2023,90652,12.5,26.47
2021,6,Stalking,14,1,15,Lake View,2023,90652,6.67,16.55
2021,6,Theft,1617,68,1685,Lake View,2023,90652,4.04,1858.76
2021,6,Weapons Violation,9,16,25,Lake View,2023,90652,64.0,27.58
2021,7,Arson,4,0,4,Lincoln Park,2023,62067,0.0,6.44
2021,7,Assault,137,13,150,Lincoln Park,2023,62067,8.67,241.67
2021,7,Battery,251,35,286,Lincoln Park,2023,62067,12.24,460.79
2021,7,Burglary,120,5,125,Lincoln Park,2023,62067,4.0,201.4
2021,7,Concealed Carry License Violation,0,1,1,Lincoln Park,2023,62067,100.0,1.61
2021,7,Criminal Damage,248,5,253,Lincoln Park,2023,62067,1.98,407.62
2021,7,Criminal Sexual Assault,24,2,26,Lincoln Park,2023,62067,7.69,41.89
2021,7,Criminal Trespass,40,10,50,Lincoln Park,2023,62067,20.0,80.56
2021,7,Deceptive Practice,453,2,455,Lincoln Park,2023,62067,0.44,733.08
2021,7,Intimidation,5,0,5,Lincoln Park,2023,62067,0.0,8.06
2021,7,Kidnapping,0,1,1,Lincoln Park,2023,62067,100.0,1.61
2021,7,Liquor Law Violation,0,7,7,Lincoln Park,2023,62067,100.0,11.28
2021,7,Motor Vehicle Theft,213,8,221,Lincoln Park,2023,62067,3.62,356.07
2021,7,Narcotics,0,9,9,Lincoln Park,2023,62067,100.0,14.5
2021,7,Obscenity,0,1,1,Lincoln Park,2023,62067,100.0,1.61
2021,7,Offense Involving Children,4,1,5,Lincoln Park,2023,62067,20.0,8.06
2021,7,Other Offense,97,6,103,Lincoln Park,2023,62067,5.83,165.95
2021,7,Public Peace Violation,8,2,10,Lincoln Park,2023,62067,20.0,16.11
2021,7,Robbery,96,6,102,Lincoln Park,2023,62067,5.88,164.34
2021,7,Sex Offense,15,2,17,Lincoln Park,2023,62067,11.76,27.39
2021,7,Stalking,3,0,3,Lincoln Park,2023,62067,0.0,4.83
2021,7,Theft,1136,24,1160,Lincoln Park,2023,62067,2.07,1868.95
2021,7,Weapons Violation,4,19,23,Lincoln Park,2023,62067,82.61,37.06
2021,8,Arson,4,0,4,Near North Side,2023,91635,0.0,4.37
2021,8,Assault,497,65,562,Near North Side,2023,91635,11.57,613.3
2021,8,Battery,1001,256,1257,Near North Side,2023,91635,20.37,1371.75
2021,8,Burglary,135,16,151,Near North Side,2023,91635,10.6,164.78
2021,8,Concealed Carry License Violation,0,4,4,Near North Side,2023,91635,100.0,4.37
2021,8,Criminal Damage,494,24,518,Near North Side,2023,91635,4.63,565.29
2021,8,Criminal Sexual Assault,126,3,129,Near North Side,2023,91635,2.33,140.78
2021,8,Criminal Trespass,192,85,277,Near North Side,2023,91635,30.69,302.29
2021,8,Deceptive Practice,992,27,1019,Near North Side,2023,91635,2.65,1112.02
2021,8,Homicide,4,4,8,Near North Side,2023,91635,50.0,8.73
2021,8,Interference With Public Officer,0,10,10,Near North Side,2023,91635,100.0,10.91
2021,8,Intimidation,5,0,5,Near North Side,2023,91635,0.0,5.46
